"IND","total","central","state","total.b","central.b"
"Bai Chunli",2,0,2,1,0
"Bi Jingquan",1,0,1,1,0
"Cai Fuchao",1,0,1,1,0
"Cao Jianming",1,1,0,1,1
"Chen Cungen",1,0,1,1,0
"Chen Gang",3,0,3,1,0
"Chen Hao",1,0,1,1,0
"Chen Lei",3,0,3,1,0
"Chen Xi",3,1,2,1,1
"Chen Xiangqun",1,1,0,1,1
"Chen Xiaohua",1,0,1,1,0
"Chen Xiwen",1,1,0,1,1
"Chen Yixin",1,1,0,1,1
"Chen Zuoning",1,0,1,1,0
"Cheng Kai",1,0,1,1,0
"Cui Yu",2,0,2,1,0
"Dai Bohua",2,0,2,1,0
"Dai Junliang",2,0,2,1,0
"Ding Xiangyang",4,0,4,1,0
"Dong Dasheng",1,0,1,1,0
"Dou Yupei",1,0,1,1,0
"Du Qinglin",1,1,0,1,1
"Du Ying",4,2,2,1,1
"Duan Dunhou",1,0,1,1,0
"Fan Changlong",1,1,0,1,1
"Fan Xiaojian",1,0,1,1,0
"Fan Yifei",1,0,1,1,0
"Fang Aiqing",1,0,1,1,0
"Feng Zhenglin",1,0,1,1,0
"Gao Hucheng",5,1,4,1,1
"Gong Puguang",1,0,1,1,0
"Gu Chaoxi",1,0,1,1,0
"Gu Ju",1,0,1,1,0
"Guo Shengkun",1,1,0,1,1
"Guo Weimin",1,0,1,1,0
"Guo Yunchong",1,0,1,1,0
"Han Changfu",4,1,3,1,1
"Han Jun",3,2,1,1,1
"He Hua",1,0,1,1,0
"He Junke",1,0,1,1,0
"He Lifeng",1,0,1,1,0
"Hu Cunzhi",2,0,2,1,0
"Hu Huaibang",2,0,2,1,0
"Hu Jinglin",1,0,1,1,0
"Hu Keming",2,0,2,1,0
"Huang Danhua",1,0,1,1,0
"Huang Haihui",1,0,1,1,0
"Huang Ming",2,0,2,1,0
"Huang Rong",1,0,1,1,0
"Huang Shouhong",2,0,2,1,0
"Huang Shuxian",4,4,0,1,1
"Huang Wei",1,0,1,1,0
"Huang Xiaowei",1,1,0,1,1
"Huang Zhijian",1,1,0,1,1
"Jia Tingan",1,0,1,1,0
"Jiang Daming",4,0,4,1,0
"Jiang Jinquan",1,1,0,1,1
"Jiang Wei",1,1,0,1,1
"Jiang Weixin",3,0,3,1,0
"Jiang Xiaojuan",1,0,1,1,0
"Jiang Xinzhi",1,1,0,1,1
"Jiang Zelin",1,0,1,1,0
"Jiang Zengwei",1,0,1,1,0
"Jiao Huancheng",1,0,1,1,0
"Jiao Yong",2,0,2,1,0
"Kong Quan",1,1,0,1,1
"Li Bin",2,0,2,1,0
"Li Jianguo",1,1,0,1,1
"Li Jiaxiang",2,0,2,1,0
"Li Keqiang",7,3,4,1,1
"Li Liguo",3,0,3,1,0
"Li Qiang",1,0,1,1,0
"Li Weisen",1,0,1,1,0
"Li Xiaohong",2,2,0,1,1
"Li Xiaoquan",1,0,1,1,0
"Li Yong",1,0,1,1,0
"Li Zhanshu",1,1,0,1,1
"Li Zhao",1,1,0,1,1
"Lian Weiliang",2,0,2,1,0
"Liang Tao",1,0,1,1,0
"Lin Nianxiu",2,0,2,1,0
"Liu Cigui",1,0,1,1,0
"Liu Guozhong",1,0,1,1,0
"Liu He",2,2,0,1,1
"Liu Jian",1,0,1,1,0
"Liu Jinguo",2,2,0,1,1
"Liu Junchen",1,0,1,1,0
"Liu Kun",3,0,3,1,0
"Liu Qi",3,0,3,1,0
"Liu Qibao",2,2,0,1,1
"Liu Shiyu",2,0,2,1,0
"Liu Xinhua",1,0,1,1,0
"Liu Yandong",2,2,0,1,1
"Liu Yongfu",2,0,2,1,0
"Liu Yunshan",5,5,0,1,1
"Liu Yuting",1,0,1,1,0
"Liu Yuzhu",1,0,1,1,0
"Lou Jiwei",6,1,5,1,1
"Lou Wenlong",1,0,1,1,0
"Lu Dongfu",3,0,3,1,0
"Lu Xin",3,0,3,1,0
"Luo Liming",1,0,1,1,0
"Luo Shugang",3,1,2,1,1
"Ma Jiantang",5,0,5,1,0
"Ma Kai",5,1,4,1,1
"Ma Xingrui",1,0,1,1,0
"Ma Zhengqi",2,0,2,1,0
"Mao Weiming",4,0,4,1,0
"Meng Jianzhu",2,2,0,1,1
"Miao Wei",6,1,5,1,1
"Mu Hong",2,2,0,1,1
"Pan Gongsheng",4,0,4,1,0
"Qian Keming",1,0,1,1,0
"Qiu Xiaoping",2,0,2,1,0
"Ran Wanxiang",1,0,1,1,0
"Ren Xianliang",1,1,0,1,1
"Shang Fulin",2,0,2,1,0
"Shao Qiwei",2,0,2,1,0
"Shen Diancheng",1,0,1,1,0
"Shu Guo",1,1,0,1,1
"Song Dahan",1,0,1,1,0
"Song Lan",1,0,1,1,0
"Sun Bo",1,0,1,1,0
"Sun Gang",1,0,1,1,0
"Sun Hongzhi",1,0,1,1,0
"Sun Huashan",4,0,4,1,0
"Sun Xueyu",1,1,0,1,1
"Sun Yibiao",1,0,1,1,0
"Sun Zhigang",1,0,1,1,0
"Sun Zhijun",4,2,2,1,1
"Tang Kai",1,0,1,1,0
"Tang Renjian",4,3,1,1,1
"Tang Tao",1,0,1,1,0
"Tian Jin",2,1,1,1,1
"Tian Lipu",1,0,1,1,0
"Tong Daochi",1,0,1,1,0
"Tong Mingkang",1,0,1,1,0
"Wan Gang",3,0,3,1,0
"Wang Baoan",2,0,2,1,0
"Wang Changshun",1,0,1,1,0
"Wang Chao",1,0,1,1,0
"Wang Chen",1,1,0,1,1
"Wang Feng",1,0,1,1,0
"Wang Guoliang",1,0,1,1,0
"Wang Hong",1,0,1,1,0
"Wang Huning",2,1,1,1,1
"Wang Jiaxin",1,1,0,1,1
"Wang Jun",3,0,3,1,0
"Wang Min",1,0,1,1,0
"Wang Ning",1,0,1,1,0
"Wang Peian",2,0,2,1,0
"Wang Qinfeng",1,1,0,1,1
"Wang Qishan",2,2,0,1,1
"Wang Xiujun",1,1,0,1,1
"Wang Yang",5,2,3,1,1
"Wang Yi",3,0,3,1,0
"Wang Ying",1,1,0,1,1
"Wang Yong",3,0,3,1,0
"Wang Zhengwei",3,2,1,1,1
"Wang Zhongwei",2,0,2,1,0
"Weng Mengyong",2,0,2,1,0
"Wu Hengquan",1,0,1,1,0
"Wu Wenxue",2,0,2,1,0
"Wu Xiaoqing",2,0,2,1,0
"Wu Yuliang",1,0,1,1,0
"Xi Jinping",4,4,0,1,1
"Xi Xiaoming",1,0,1,1,0
"Xia Xinghua",1,0,1,1,0
"Xia Yong",1,0,1,1,0
"Xiao Jie",4,1,3,1,1
"Xiao Yaqing",4,0,4,1,0
"Xie Jingrong",1,0,1,1,0
"Xie Xuezhi",1,0,1,1,0
"Xin Changxing",1,0,1,1,0
"Xin Guobin",1,0,1,1,0
"Xiu Jigang",1,0,1,1,0
"Xu Dazhe",1,0,1,1,0
"Xu Fushun",2,0,2,1,0
"Xu Lin",1,1,0,1,1
"Xu Qiliang",2,2,0,1,1
"Xu Shaoshi",5,2,3,1,1
"Xu Xianchun",1,0,1,1,0
"Xu Xiao",1,0,1,1,0
"Xu Yifan",2,0,2,1,0
"Yang Chuantang",3,0,3,1,0
"Yang Huanning",2,0,2,1,0
"Yang Jiechi",3,1,2,1,1
"Yang Jing",2,0,2,1,0
"Yang Shaopin",1,0,1,1,0
"Yang Shiqiu",1,0,1,1,0
"Yang Weimin",1,1,0,1,1
"Yang Xiaochao",1,1,0,1,1
"Yang Zhijin",2,0,2,1,0
"Yang Zhiming",2,0,2,1,0
"Yao Gang",1,0,1,1,0
"Ye Yanlin",1,1,0,1,1
"Yin Weimin",4,1,3,1,1
"Yu Bangli",1,0,1,1,0
"Yu Guangzhou",2,0,2,1,0
"Yu Jianhua",1,0,1,1,0
"Yu Xinrong",2,0,2,1,0
"Yu Zhengsheng",2,2,0,1,1
"Yuan Chunqing",1,1,0,1,1
"Yuan Guiren",4,1,3,1,1
"Yuan Li",1,0,1,1,0
"Yuan Shuhong",1,0,1,1,0
"Zhai Qing",1,0,1,1,0
"Zhang Benping",1,1,0,1,1
"Zhang Dejiang",1,1,0,1,1
"Zhang Delin",1,0,1,1,0
"Zhang Gaoli",10,2,8,1,1
"Zhang Jianguo",2,0,2,1,0
"Zhang Jianhua",1,0,1,1,0
"Zhang Jianlong",2,0,2,1,0
"Zhang Jinan",1,0,1,1,0
"Zhang Jun",1,1,0,1,1
"Zhang Laiwu",2,0,2,1,0
"Zhang Qingli",1,1,0,1,1
"Zhang Shaochun",2,1,1,1,1
"Zhang Weimin",2,0,2,1,0
"Zhang Xihui",1,1,0,1,1
"Zhang Xiwu",1,0,1,1,0
"Zhang Yesui",1,0,1,1,0
"Zhang Yi",1,1,0,1,1
"Zhang Yijiong",1,1,0,1,1
"Zhang Yizhen",1,0,1,1,0
"Zhang Yuqing",1,0,1,1,0
"Zhang Zhiyong",2,0,2,1,0
"Zhao Dacheng",1,0,1,1,0
"Zhao Hongzhu",3,3,0,1,1
"Zhao Hui",1,0,1,1,0
"Zhao Leji",5,5,0,1,1
"Zhao Shucong",3,0,3,1,0
"Zheng Guoguang",1,0,1,1,0
"Zhi Shuping",1,0,1,1,0
"Zhou Mubing",3,0,3,1,0
"Zhou Qiang",1,1,0,1,1
"Zhou Xiaochuan",1,1,0,1,1
"Zhou Yanli",1,0,1,1,0
"Zhu Hongren",1,0,1,1,0
"Zhuang Rongwen",1,1,0,1,1
"Zou Tianjing",1,0,1,1,0
